arnon_ni ar+prpers SPS000+PP1CPO00 
wedi_syfrdanai wedi_syfrdanu VMII3S0 
iddi_hi i+prpers SPS000+PP3FSO00 
amdanat_ti am+prpers SPS000+PP2CSO00 
tu_hwnt_i tu_hwnt_i SPS000 
ohonom_ni o+prpers SPS000+PP1CPO00 
y_llall y_llall PD0CS000 
gyn_i gan+prpers SPS000+PP1CSO00 
eich_hun eich_hun PP2CPN00 
oddi_wrtho oddi_wrth+prpers SPS000+PP3MSO00 
i_chi i+prpers SPS000+PP2CPO00 
rhagddynt_hwy rhag+prpers SPS000+PP3CPO00 
oddi_wrthi oddi_wrth+prpers SPS000+PP3FSO00 
i_gyd i_gyd AQ0000 
rhagddyn_nhw rhag+prpers SPS000+PP3CPO00 
trwoch_chi trwy+prpers SPS000+PP2CPO00 
o_gylch o_gylch SPS000 
rhagot_ti rhag+prpers SPS000+PP2CSO00 
drwy_gydol_y_nos drwy_gydol_y_nos RG 
drostyn_nhw dros+prpers SPS000+PP3CPO00 tros+prpers SPS000+PP3CPO00 
fesul_llinell fesul_llinell RG 
eu_hun eu_hun PP3CPN00 
wedi_syfrdanasai wedi_syfrdanu VMIX3S0 
drwyddoch_chi trwy+prpers SPS000+PP2CPO00 drwy+prpers SPS000+PP2CPO00 
trwyddo_ef trwy+prpers SPS000+PP3MSO00 
ar_gyfyl ar_gyfyl SPS000 
ynglŷn_â ynglŷn_â SPS000 
wrthyt_ti wrth+prpers SPS000+PP2CSO00 
rhyngddon_ni rhwng+prpers SPS000+PP1CPO00 
wedi_syfrdanaist wedi_syfrdanu VMIS2S0 
eich_hunain eich_hun PP2CPN00 
danyn_nhw dan+prpers SPS000+PP3CPO00 
tuag_ato_fo tuag_at+prpers SPS000+PP3MSO00 
pa_fath_o pa_fath_o DT0CN0 
tuag_ato_fe tuag_at+prpers SPS000+PP3MSO00 
ar_unrhyw_adeg ar_unrhyw_adeg RG 
rhyngddoch_chi rhwng+prpers SPS000+PP2CPO00 
o_flaen o_flaen SPS000 
mohonot_ti mohonot_ti RG 
erot_ti er+prpers SPS000+PP2CSO00 
i_mewn_i i_mewn_i SPS000 
